Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Silverton Mountain,Colorado,Colorado,13487,3087,10400,0,0,0,0,0,0,1,0,1,48,0,1.5,26819.0,0.0,175,17,400.0,79.0,79.0,181,0.0
Cooper,Colorado,Colorado,11700,1200,10500,0,0,0,0,0,1,1,2,4,41,1,1.0,400.0,0.0,130,74,260.0,56.0,56.0,130,0.0
Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0,0,2,0,1,1,1,5,40,1,0.6,406.0,170.0,116,36,220.0,84.0,84.0,92,100.0
Steamboat,Colorado,Colorado,10568,3668,6900,1,0,1,6,0,5,2,3,18,169,4,3.0,2965.0,375.0,145,56,336.0,57.91695652173913,64.1668100358423,145,30.0
Sunlight Mountain Resort,Colorado,Colorado,9895,2010,7885,0,0,0,0,0,1,2,0,3,67,1,2.5,680.0,30.0,100,53,250.0,65.0,65.0,135,0.0
Telluride,Colorado,Colorado,13150,4425,8725,2,0,0,6,1,2,2,4,17,148,3,4.6,2000.0,220.0,131,47,280.0,139.0,139.0,137,0.0
Vail,Colorado,Colorado,11570,3450,8120,2,0,3,15,1,1,0,9,31,195,3,4.0,5289.0,461.0,149,57,354.0,57.91695652173913,64.1668100358423,142,0.0
Winter Park Resort,Colorado,Colorado,12060,3060,9000,1,0,2,7,0,4,6,5,25,166,7,4.9,3081.0,313.0,158,79,360.0,57.91695652173913,64.1668100358423,151,0.0
Wolf Creek Ski Area,Colorado,Colorado,11904,1604,10300,0,0,0,3,1,2,1,3,10,120,0,2.0,1600.0,5.0,130,80,430.0,72.0,72.0,150,0.0
Mohawk Mountain,Connecticut,Connecticut,1600,650,950,0,0,0,0,0,5,0,3,8,25,0,1.5,107.0,100.0,115,72,92.0,30.0,65.0,110,64.0
Mount Southington Ski Area,Connecticut,Connecticut,525,425,100,0,0,0,0,0,2,2,3,7,14,2,0.3,51.0,51.0,63,55,80.0,60.0,60.0,95,51.0
Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0,0,0,0,1,2,2,5,19,4,0.5,80.0,68.0,80,60,80.0,45.0,55.0,100,40.0
Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0,0,0,0,3,0,2,5,16,2,1.0,70.0,70.0,84,50,45.0,62.0,62.0,95,66.0
Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,0,0,0,0,0,1,4,5,12,2,0.2,50.0,50.0,126,57,70.0,42.0,42.0,180,35.0
Bogus Basin,Idaho,Idaho,7582,1800,5800,0,0,0,3,0,1,3,4,11,91,3,1.5,2600.0,0.0,134,77,250.0,64.0,64.0,130,165.0
Brundage Mountain Resort,Idaho,Idaho,7640,1800,5840,0,0,0,1,0,4,0,1,6,51,2,3.2,1920.0,2.0,126,58,320.0,70.0,70.0,120,0.0
Kelly Canyon Ski Area,Idaho,Idaho,6600,1000,5600,0,0,0,0,0,0,4,2,6,51,1,1.3,740.0,0.0,115,62,200.0,57.91695652173913,42.0,120,0.0
Lookout Pass Ski Area,Idaho,Idaho,5650,1150,4500,0,0,0,0,0,1,3,0,4,35,2,1.5,540.0,0.0,113,84,400.0,44.0,47.0,140,0.0
Magic Mountain Ski Area,Idaho,Idaho,7200,700,6500,0,0,0,0,0,0,1,2,3,11,0,1.5,280.0,0.0,65,81,180.0,32.0,32.0,70,0.0
Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0,0,0,0,3,0,0,3,54,2,1.3,1100.0,30.0,85,70,250.0,47.0,47.0,91,30.0
Pomerelle Mountain Resort,Idaho,Idaho,9000,1000,8000,0,0,0,0,0,1,1,1,3,24,2,1.5,500.0,50.0,138,56,500.0,57.91695652173913,64.1668100358423,138,100.0
Schweitzer,Idaho,Idaho,6400,2400,4000,0,0,1,2,0,1,3,2,9,92,3,2.1,2900.0,47.0,136,56,300.0,81.0,81.0,120,100.0
Silver Mountain,Idaho,Idaho,6300,2200,4100,1,0,0,0,1,2,2,1,7,80,2,2.5,1600.0,225.0,130,29,300.0,57.0,62.0,193,20.0
Soldier Mountain Ski Area,Idaho,Idaho,7200,1400,5800,0,0,0,0,0,0,2,1,3,36,0,0.4,1142.0,0.0,60,71,185.31645569620252,43.0,43.0,120,0.0
Sun Valley,Idaho,Idaho,9150,3400,5750,1,0,0,9,0,3,2,3,18,120,7,3.0,2054.0,645.0,149,83,220.0,57.91695652173913,64.1668100358423,137,0.0
Tamarack Resort,Idaho,Idaho,7700,2800,4900,0,0,0,2,2,0,0,2,6,48,3,1.5,1020.0,200.0,115,15,300.0,71.0,71.0,150,0.0
Chestnut Mountain Resort,Illinois,Illinois,1040,475,565,0,0,0,0,2,4,0,3,9,22,3,0.2,139.0,139.0,87,60,50.0,40.0,55.0,112,139.0
Four Lakes,Illinois,Illinois,500,100,400,0,0,0,0,0,0,0,7,7,7,1,0.1,9.0,9.0,78,58,24.0,57.91695652173913,64.1668100358423,70,9.0
Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,0,0,0,2,0,2,2,6,15,1,0.8,28.0,28.0,56,38,38.0,25.0,35.0,86,28.0
Villa Olivia,Illinois,Illinois,500,180,320,0,0,0,0,1,0,0,6,7,7,1,0.1,15.0,15.0,115,53,25.0,40.0,40.0,70,15.0
Paoli Peaks,Indiana,Indiana,900,300,600,0,0,0,1,1,3,1,2,8,15,2,0.4,65.0,65.0,75,41,18.0,38.0,45.0,80,65.0
Perfect North Slopes,Indiana,Indiana,800,400,400,0,0,0,0,2,3,0,6,11,23,2,1.0,100.0,100.0,82,39,24.0,52.0,52.0,90,100.0
Mt. Crescent Ski Area,Iowa,Iowa,1500,300,1200,0,0,0,0,1,0,1,0,2,11,1,0.2,50.0,50.0,115,58,30.0,29.0,39.0,120,50.0
Seven Oaks,Iowa,Iowa,975,275,800,0,0,0,0,0,2,0,2,4,11,2,1.0,35.0,35.0,100,22,40.0,40.0,40.0,100,35.0
Sundown Mountain,Iowa,Iowa,1059,475,584,0,0,0,0,1,1,2,2,6,21,2,0.6,55.0,55.0,115,46,45.0,38.0,46.0,120,55.0
Big Squaw Mountain Ski Resort,Maine,Maine,3200,660,1750,0,0,0,0,0,1,0,0,1,29,0,0.8,739.8012232415903,0.0,67,6,185.31645569620252,30.0,30.0,58,0.0
Camden Snow Bowl,Maine,Maine,1080,850,150,0,0,0,0,0,1,1,1,3,26,2,1.0,100.0,48.0,68,83,69.0,33.0,43.0,70,48.0
Lost Valley,Maine,Maine,495,240,255,0,0,0,0,0,0,2,2,4,22,2,0.3,45.0,45.0,87,58,50.0,29.0,55.0,104,45.0
Mt. Abram Ski Resort,Maine,Maine,2250,1150,1050,0,0,0,0,0,0,2,3,5,54,1,0.5,640.0,175.0,120,59,125.0,29.0,49.0,120,0.0
Mt. Jefferson,Maine,Maine,753,432,351,0,0,0,0,0,0,0,3,3,10,0,0.3,12.0,0.0,115,19,185.31645569620252,57.91695652173913,64.1668100358423,120,0.0
New Hermon Mountain,Maine,Maine,450,350,100,0,0,0,0,0,0,1,2,3,20,0,1.9,70.0,70.0,102,55,90.0,32.0,32.0,117,45.0
Shawnee Peak,Maine,Maine,1900,1350,600,0,0,0,0,1,2,1,2,6,43,3,0.8,239.0,234.0,97,81,110.0,55.0,75.0,103,110.0
Sugarloaf,Maine,Maine,4237,2820,1417,0,0,0,2,3,1,5,2,13,162,4,3.5,1240.0,618.0,159,68,200.0,99.0,99.0,155,0.0
Sunday River,Maine,Maine,3140,2340,800,1,0,0,4,5,3,1,1,15,135,5,3.0,870.0,552.0,165,60,167.0,105.0,105.0,169,140.0
Wisp,Maryland,Maryland,3115,700,2415,0,0,0,0,2,5,0,5,12,34,3,1.5,172.0,118.0,121,64,100.0,59.0,79.0,120,118.0
Berkshire East,Massachusetts,Massachusetts,1720,1180,540,0,0,0,0,2,1,1,2,6,47,2,2.0,180.0,165.0,120,68,120.0,48.0,68.0,120,80.0
Blandford Ski Area,Massachusetts,Massachusetts,1685,465,1035,0,0,0,0,0,0,3,2,5,29,2,0.5,132.0,70.0,115,83,50.0,20.0,45.0,120,70.0
Blue Hills Ski Area,Massachusetts,Massachusetts,635,309,326,0,0,0,0,0,0,1,3,4,16,1,1.433230769230769,60.0,60.0,115,19,185.31645569620252,40.0,45.0,120,0.0
Bousquet Ski Area,Massachusetts,Massachusetts,1875,750,1125,0,0,0,0,0,0,3,2,5,23,1,1.0,200.0,98.0,115,19,83.0,25.0,49.0,120,100.0
Bradford Ski Area,Massachusetts,Massachusetts,1548,248,1300,0,0,0,0,0,2,0,8,10,15,1,0.3,48.0,48.0,115,71,185.31645569620252,37.0,55.0,120,0.0
Jiminy Peak,Massachusetts,Massachusetts,2380,1150,1230,0,0,1,0,2,3,1,2,9,45,3,2.0,167.0,163.0,121,71,90.0,81.0,81.0,120,104.0
Nashoba Valley,Massachusetts,Massachusetts,440,240,200,0,0,0,0,0,3,1,7,11,17,2,0.5,52.0,52.0,112,55,55.0,48.0,58.0,126,52.0
Otis Ridge Ski Area,Massachusetts,Massachusetts,1700,400,1300,0,0,0,0,0,0,1,3,4,11,1,1.0,60.0,55.0,106,73,70.0,20.0,40.0,106,35.0
Ski Butternut,Massachusetts,Massachusetts,1800,1000,800,0,0,0,0,3,1,1,6,11,22,2,1.5,110.0,110.0,107,56,115.0,25.0,60.0,110,0.0
Ski Ward,Massachusetts,Massachusetts,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45.0,45.0,105,50,80.0,57.91695652173913,64.1668100358423,120,38.0
Wachusett Mountain Ski Area,Massachusetts,Massachusetts,2006,1000,1006,0,0,0,3,0,1,0,4,8,27,2,1.5,112.0,112.0,115,57,100.0,65.0,71.0,120,104.0
Alpine Valley Ski Area,Michigan,Michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100.0,100.0,115,57,20.0,39.0,47.0,120,100.0
Apple Mountain,Michigan,Michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,1.433230769230769,80.0,42.0,115,58,52.0,35.0,35.0,120,80.0
Big Powderhorn Mountain,Michigan,Michigan,1800,600,1200,0,0,0,0,0,0,9,1,10,45,2,1.0,253.0,228.0,100,55,214.0,69.0,69.0,108,0.0
Bittersweet Ski Area,Michigan,Michigan,850,350,450,0,0,0,0,1,7,0,4,12,20,2,0.2,100.0,100.0,80,36,90.0,38.0,48.0,120,100.0
Big Snow Resort - Blackjack,Michigan,Michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1.0,170.0,86.0,95,42,210.0,49.0,65.0,115,0.0
Boyne Highlands,Michigan,Michigan,1290,552,745,0,0,0,1,3,4,0,2,10,55,4,1.2,435.0,400.0,97,56,140.0,78.0,98.0,120,150.0
Boyne Mountain Resort,Michigan,Michigan,1120,500,620,0,0,1,0,4,3,2,2,12,60,7,1.0,415.0,380.0,122,71,140.0,57.91695652173913,64.1668100358423,130,200.0
Caberfae Peaks,Michigan,Michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200.0,200.0,118,82,140.0,39.0,49.0,130,150.0
Cannonsburg,Michigan,Michigan,1100,250,850,0,0,0,0,1,1,1,7,10,21,5,0.1,100.0,0.0,100,54,100.0,30.0,37.0,100,0.0
Crystal Mountain,Michigan,Michigan,1132,375,757,0,0,0,1,3,2,0,2,8,58,3,0.3,102.0,96.0,120,63,132.0,54.0,64.0,135,56.0
Big Snow Resort - Indianhead Mountain,Michigan,Michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1.0,240.0,150.0,120,60,204.0,49.0,49.0,120,0.0
Marquette Mountain,Michigan,Michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169.0,143.0,139,60,210.0,57.91695652173913,64.1668100358423,135,89.0
Mont Ripley,Michigan,Michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112.0,112.0,114,83,275.0,49.0,49.0,100,100.0
Mount Bohemia,Michigan,Michigan,1500,900,600,0,0,0,0,0,1,1,0,2,48,0,2.3,585.0,0.0,83,19,273.0,68.0,68.0,100,0.0
Mt. Brighton,Michigan,Michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130.0,130.0,111,59,60.0,52.0,59.0,100,130.0
Mt. Holiday Ski Area,Michigan,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45.0,45.0,100,70,120.0,22.0,34.0,90,45.0
Mount Holly,Michigan,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100.0,100.0,115,63,42.0,37.0,45.0,102,100.0
Mulligan's Hollow Ski Bowl,Michigan,Michigan,700,130,570,0,0,0,0,0,0,0,5,5,6,0,0.2,10.0,10.0,115,19,60.0,15.0,20.0,120,10.0
Norway Mountain,Michigan,Michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186.0,186.0,110,45,100.0,57.91695652173913,45.0,110,40.0
Nubs Nob Ski Area,Michigan,Michigan,1338,427,911,0,0,0,0,3,4,2,1,10,53,3,0.9,248.0,248.0,133,61,135.0,65.0,85.0,130,160.0
Pine Knob Ski Resort,Michigan,Michigan,1308,300,1009,0,0,0,0,0,0,0,6,6,14,3,1.0,80.0,80.0,115,4,185.31645569620252,49.0,57.0,120,0.0
Pine Mountain,Michigan,Michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160.0,160.0,110,80,60.0,57.91695652173913,45.0,126,80.0
Schuss Mountain at Shanty Creek,Michigan,Michigan,1125,450,675,0,0,0,0,5,0,0,3,8,42,3,1.0,70.0,70.0,94,57,160.0,58.0,78.0,111,70.0
Ski Brule,Michigan,Michigan,1860,500,1360,0,0,0,0,0,0,5,7,12,17,3,1.0,150.0,150.0,164,62,150.0,49.0,49.0,165,40.0
Snow Snake Mountain Ski Area,Michigan,Michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0.0,40.0,40.0,115,72,185.31645569620252,30.0,35.0,120,40.0
Swiss Valley,Michigan,Michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60.0,60.0,89,51,60.0,32.0,42.0,80,60.0
The Homestead,Michigan,Michigan,900,320,580,0,0,0,0,0,2,1,2,5,15,1,0.2,16.0,16.0,47,34,150.0,50.0,50.0,42,16.0
Timber Ridge,Michigan,Michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50.0,50.0,80,58,185.31645569620252,35.0,45.0,120,50.0
Treetops Resort,Michigan,Michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80.0,80.0,63,65,175.0,57.91695652173913,64.1668100358423,101,80.0
Afton Alps,Minnesota,Minnesota,1530,350,1180,0,0,0,0,1,3,14,4,22,48,5,0.5,250.0,250.0,135,56,60.0,55.0,60.0,135,250.0
Andes Tower Hills Ski Area,Minnesota,Minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35.0,35.0,100,38,55.0,45.0,45.0,110,35.0
Buck Hill,Minnesota,Minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45.0,45.0,115,65,60.0,34.0,47.0,112,45.0
Buena Vista Ski Area,Minnesota,Minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30.0,30.0,57,70,78.0,44.0,44.0,60,30.0
Coffee Mill Ski & Snowboard Resort,Minnesota,Minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1.0,40.0,35.0,57,39,48.0,23.0,37.0,56,35.0
Elm Creek Winter Recreation Area,Minnesota,Minnesota,928,60,868,0,0,0,0,0,0,0,3,3,3,0,1.0,15.0,20.0,105,13,45.0,17.0,17.0,102,15.0
Giants Ridge Resort,Minnesota,Minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202.0,202.0,120,35,85.0,49.0,58.0,125,121.0
Hyland Ski & Snowboard Area,Minnesota,Minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1.0,35.0,35.0,110,61,55.0,35.34,35.34,115,35.0
Lutsen Mountains,Minnesota,Minnesota,1688,825,800,1,0,1,0,0,1,4,1,8,62,2,2.0,393.0,231.0,135,71,120.0,84.0,84.0,127,0.0
Mount Kato Ski Area,Minnesota,Minnesota,540,240,300,0,0,0,0,5,0,3,2,10,19,4,1.0,55.0,55.0,115,43,50.0,34.0,46.0,120,50.0
Powder Ridge Ski Area,Minnesota,Minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,1.433230769230769,60.0,60.0,97,58,45.0,36.0,48.0,113,60.0
Spirit Mountain,Minnesota,Minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1.0,175.0,175.0,100,45,100.0,59.0,59.0,125,144.0
Welch Village,Minnesota,Minnesota,1060,360,700,0,0,0,0,3,1,4,2,10,50,1,0.8,125.0,125.0,114,54,45.0,54.0,60.0,122,100.0
Wild Mountain Ski & Snowboard Area,Minnesota,Minnesota,1113,300,813,0,0,0,0,4,0,0,4,8,26,4,0.9,100.0,100.0,130,47,50.0,55.0,55.0,140,100.0
Hidden Valley Ski Area,Missouri,Missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30.0,30.0,115,37,26.0,49.0,49.0,120,17.0
Snow Creek,Missouri,Missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30.0,30.0,69,33,20.0,37.0,47.0,85,30.0
Big Sky Resort,Montana,Montana,11166,4350,7500,1,1,2,5,3,7,5,12,36,317,8,6.0,5800.0,400.0,144,46,400.0,57.91695652173913,64.1668100358423,144,0.0
Blacktail Mountain Ski Area,Montana,Montana,6676,1440,5236,0,0,0,0,0,1,2,1,4,27,0,0.7,1000.0,0.0,115,21,250.0,42.0,42.0,120,0.0
Bridger Bowl,Montana,Montana,8700,2600,6100,0,0,0,0,1,6,1,3,11,105,2,1.5,2000.0,100.0,122,64,350.0,63.0,63.0,133,0.0
Discovery Ski Area,Montana,Montana,8150,2380,5770,0,0,0,0,0,5,2,1,8,74,1,1.5,2400.0,25.0,116,46,225.0,49.0,49.0,116,0.0
Great Divide,Montana,Montana,7330,1580,5750,0,0,0,0,0,0,5,1,6,110,6,3.0,1600.0,150.0,94,78,180.0,48.0,48.0,100,100.0
Lost Trail - Powder Mtn,Montana,Montana,8200,1800,6400,0,0,0,0,0,0,5,3,8,69,2,2.5,1800.0,0.0,84,81,325.0,46.0,46.0,80,0.0
Maverick Mountain,Montana,Montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255.0,0.0,115,83,160.0,39.0,39.0,120,0.0
Montana Snowbowl,Montana,Montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950.0,20.0,115,58,300.0,50.0,50.0,120,10.0
Red Lodge Mountain,Montana,Montana,9416,2400,7016,0,0,0,2,0,1,3,1,7,70,2,2.5,1635.0,496.0,142,59,250.0,67.0,67.0,136,0.0
Showdown Montana,Montana,Montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640.0,0.0,86,83,250.0,47.0,47.0,85,0.0
Teton Pass Ski Resort,Montana,Montana,7200,1010,6190,0,0,0,0,0,0,1,2,3,43,1,3.0,330.0,0.0,40,54,250.0,39.0,39.0,150,0.0
Whitefish Mountain Resort,Montana,Montana,6817,2353,4464,0,0,0,3,2,6,0,3,14,105,4,3.3,3000.0,600.0,123,72,333.0,81.0,81.0,123,600.0
Diamond Peak,Sierra Nevada,Nevada,8540,1840,6700,0,0,0,1,2,0,3,1,7,30,3,2.5,655.0,492.0,100,53,300.0,89.0,99.0,122,0.0
Elko SnoBowl,Nevada,Nevada,7000,700,6300,0,0,0,0,0,0,1,1,2,10,0,1.0,60.0,2.0,19,23,24.0,20.0,20.0,30,0.0
Lee Canyon,Nevada,Nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195.0,50.0,144,56,161.0,70.0,70.0,150,0.0
Mt. Rose - Ski Tahoe,Sierra Nevada,Nevada,9700,1800,8260,0,0,2,0,2,2,0,2,8,65,5,2.5,1200.0,330.0,152,55,350.0,135.0,135.0,150,0.0
Attitash,New Hampshire,New Hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3.0,311.0,240.0,115,54,120.0,79.0,89.0,130,0.0
